id,name,isApproved,hasBeenWithdrawn
CHEMBL1000,CETIRIZINE,True,False
CHEMBL100014,AN-9,False,False
CHEMBL100116,PENTAZOCINE,True,False
CHEMBL1002,LEVOSALBUTAMOL,True,False
CHEMBL100259,URIDINE,False,False
CHEMBL1003,CLAVULANATE POTASSIUM,True,False
CHEMBL1004,DOXYLAMINE,True,False
CHEMBL1005,REMIFENTANIL,True,False
CHEMBL1006,AMIFOSTINE,True,False
CHEMBL1007,GONADORELIN,True,False
CHEMBL1008,BEPRIDIL,True,False
CHEMBL1009,LEVODOPA,True,False
CHEMBL101,PHENYLBUTAZONE,True,True
CHEMBL1010,CEFOTAXIME SODIUM,True,False
CHEMBL101253,VATALANIB,False,False
CHEMBL1013,LORACARBEF ANHYDROUS,True,False
CHEMBL1014,CANDESARTAN CILEXETIL,True,False
CHEMBL1016,CANDESARTAN,False,False
CHEMBL1017,TELMISARTAN,True,False
CHEMBL10188,TALNETANT,False,False
CHEMBL1020,TOLMETIN,True,False
CHEMBL1021,NEPAFENAC,True,False
CHEMBL1023,BEXAROTENE,True,False
CHEMBL102358,IDROCILAMIDE,False,False
CHEMBL1024,IFOSFAMIDE,True,False
CHEMBL1025,ISOFLUROPHATE,True,False
CHEMBL1026,FENOLDOPAM MESYLATE,True,False
CHEMBL1027,TIAGABINE,True,False
CHEMBL1029,MIGLUSTAT,True,False
CHEMBL103,PROGESTERONE,True,False
CHEMBL10316,IDAZOXAN,False,False
CHEMBL1034,DICLOFENAC SODIUM,True,False
CHEMBL103667,DORAMAPIMOD,False,False
CHEMBL103735,ATIPRIMOD,False,False
CHEMBL104,CLOTRIMAZOLE,True,False
CHEMBL1040,CALCIFEDIOL ANHYDROUS,True,False
CHEMBL1042,CHOLECALCIFEROL,True,False
CHEMBL1043,DAPSONE,True,False
CHEMBL1046,AMINOCAPROIC ACID,True,False
CHEMBL104943,MONOETHANOLAMINE,False,False
CHEMBL105,MITOMYCIN,True,False
CHEMBL105060,DNK333,False,False
CHEMBL1051,LATANOPROST,True,False
CHEMBL105184,BIFENDATE,False,False
CHEMBL105318,ALOVUDINE,False,False
CHEMBL1054,TRICHLORMETHIAZIDE,True,False
